id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type
10365373,Dream Pad,8049682,Krysta,Brooklyn,Crown Heights,Private room
10365516,Charming Brooklyn apartment w/patio,30983216,Meredith,Brooklyn,Bushwick,Entire home/apt
10365991,"Sunny and Spacious 2BR, Murray Hill",17790870,Zal,Manhattan,Murray Hill,Entire home/apt
10367220,Private room in West Harlem,5764600,Sarah,Manhattan,Harlem,Private room
10367884,Cozy studio in Park Slope,724870,Lindy,Brooklyn,Park Slope,Entire home/apt
10368055,Classic Brooklyn Brownstone,29466025,Alex,Brooklyn,Park Slope,Entire home/apt
10368714,Martha's Apartment,53369750,Martha,Manhattan,Washington Heights,Private room
10369038,纽约之家 (Sunny Home2),27673980,Amy,Queens,Flushing,Private room
10369047,纽约之家(Sunny Home1),27673980,Amy,Queens,Flushing,Private room
10371643,Nice room in the Upper West Side,53387593,Nora,Manhattan,Upper West Side,Private room
10377405,Little Italy/Soho,2983459,Jesper,Manhattan,Nolita,Entire home/apt
10377445,Beautiful High-Rise Studio Condo.,53412784,Mark,Manhattan,Midtown,Private room
10381948,Spacious Cozy Greenpoint Apartment,29741970,Jacob,Brooklyn,Greenpoint,Private room
10382430,Private bedroom located in Bushwick,53445174,Robert,Brooklyn,Bushwick,Private room
10383284,Bushwick Suite,53411078,Caroline,Brooklyn,Bushwick,Private room
10383291,"Comfortable, cozy, dorm-like room",53450065,Maria,Queens,Flushing,Private room
10385262,UPPER WEST SIDE GEM ON PARK BLOCK,53462017,Harry,Manhattan,Upper West Side,Entire home/apt
10386341,Minutes to the Metro!!!,53468381,Jeremy,Brooklyn,Bedford-Stuyvesant,Entire home/apt
10386831,Cozy Room in Boerum Hill,15895218,Amy,Brooklyn,Gowanus,Private room
10386936,Private Room in Williamsburg!,53471415,Mark,Brooklyn,Williamsburg,Private room
10387839,Cute 2 bed Williamsburg railroad,53477091,Elena,Brooklyn,Williamsburg,Entire home/apt
10388512,JFK 10 & LGA 15 MINUTES AWAY A/C PRIVATE BEDROOM A,22959695,Gurpreet  Singh,Queens,Richmond Hill,Private room
10390252,NEW listing! Large Prospect Park 1 Bed,2581816,Lindsay,Brooklyn,Flatbush,Entire home/apt
10390256,East Village Apartment,3078092,Amanda,Manhattan,East Village,Private room
10390481,STUDIO APARTMENT IN LUXURY BUILDING,53492531,Kyla,Brooklyn,Crown Heights,Entire home/apt
10390902,Cozy spot off L train - 20min>City,53495399,Blake,Brooklyn,Bushwick,Private room
10393619,Spacious room in large funky home!,12258594,Rosa,Brooklyn,Crown Heights,Entire home/apt
10401534,West Village Private Bedroom,51309850,Danielle,Manhattan,Greenwich Village,Private room
10403070,Brownstone in Brooklyn,52657843,Yuchen,Brooklyn,Bedford-Stuyvesant,Private room
10403199,Mid-Century Museum Sleepover,29065752,Cullen,Brooklyn,Williamsburg,Entire home/apt
10403231,Cozy Studio in Excellent Location,9870528,Amit,Manhattan,Chelsea,Entire home/apt
10403667,Nice studio with view of the UN,46714717,Gabriella,Manhattan,Murray Hill,Entire home/apt
10403922,Brooklyn Park Slope Queen Bed,33213436,Alec,Brooklyn,Gowanus,Private room
10405694,Modern 2 bedroom apt in Bushwick,12306936,Liz,Brooklyn,Bushwick,Entire home/apt
10405711,Williamsburg Luxury,9679291,Indiana,Brooklyn,Williamsburg,Shared room
10405891,Charming & bright Williamsburg loft,2360150,Simona,Brooklyn,Greenpoint,Entire home/apt
10407271,Luxury Bushwick Apartment,53582731,Jayson,Brooklyn,Bushwick,Entire home/apt
10407723,Fort Greene Hideaway,814747,Maeve,Brooklyn,Fort Greene,Entire home/apt
10408285,Charming Brooklyn One-Bed,3113491,Michelle,Brooklyn,Crown Heights,Entire home/apt
10409669,Cool Large Room In 3 Min From Manhattan,35421139,Shaun,Queens,Long Island City,Private room
10409905,Beautiful One Bedroom  East Harlem Apt,8775113,Omar,Manhattan,East Harlem,Entire home/apt
10411679,Cute Comfy Room in Greenpoint,15235299,Hai-Hsin,Brooklyn,Greenpoint,Private room
10412006,Best street in New York.,53618094,Matthew,Manhattan,Nolita,Entire home/apt
10412649,Large bright room in prime Bushwick,36892974,Nikolai,Brooklyn,Bushwick,Private room
10413474,Beautiful 2 bed Artists Loft - Williamsburg,53627366,Nick,Brooklyn,Williamsburg,Entire home/apt
10413492,Great apartment (midtown area ),51501835,Jeniffer,Manhattan,Hell's Kitchen,Entire home/apt
10413576,Quiet home free ferry to Manhattan,53627900,Mahmood,Staten Island,New Brighton,Private room
10414065,Large Private Minimalist Loft Room,525663,Steven,Manhattan,Chinatown,Private room
10417282,Best bedroom in heart of Astoria,53652520,Allie,Queens,Astoria,Private room
10423846,Renovated sunny studio,24796157,Soonbin,Brooklyn,Fort Greene,Entire home/apt
10425572,Large Bedroom in 2BR spacious brownstone,265152,Marta,Brooklyn,Fort Greene,Private room
10427351,Doorman Studio Gym Deck!5108,16098958,Jeremy & Laura,Manhattan,Upper West Side,Entire home/apt
10429094,Private bedroom & 1/2 bath in Wburg,6320146,Caroline,Brooklyn,Williamsburg,Private room
10429566,Gorgeous Apartment on Prime waterfront location,52616278,Dominique,Brooklyn,Williamsburg,Entire home/apt
10433284,"Awesome location, and spacious room",5487321,Xinxin,Manhattan,Gramercy,Private room
10434806,Studio near to TIME SQUARE,51501835,Jeniffer,Manhattan,Hell's Kitchen,Entire home/apt
10435733,Cute Spacious Williamsburg Apt,5927655,Ann,Brooklyn,Williamsburg,Private room
10435862,Two Beds OR KingSize Bed by Subway; Washer/Dryer,9372363,Tj,Brooklyn,Midwood,Private room
10438662,Kick Back and Relax in this Oasis,53773419,Wesleyan,Brooklyn,Bedford-Stuyvesant,Private room
10439129,East Village Exposed Brick Studio,4289557,Dimitri,Manhattan,East Village,Entire home/apt
10444139,Budget Room at Brooklyn&Breakfast,344035,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,Private room
10445597,Cosy room in a Brooklyn brownstone,299236,Eleonora,Brooklyn,Bedford-Stuyvesant,Private room
10446429,Studio in West Village/Cornelia St,11386786,Sam,Manhattan,West Village,Private room
10446926,Renovated Harlem Private Room,53819985,Matthew,Manhattan,Harlem,Private room
10446989,Large Room with own entrance: Brooklyn&Breakfast,344035,Brooklyn&   Breakfast    -Len-,Brooklyn,Prospect Heights,Private room
10447691,Sunny room in Lower East Side Apt!,183151,Lynh,Manhattan,Lower East Side,Private room
10448095,Private Studio in Beautiful Duplex,11742675,Malik,Manhattan,Upper East Side,Private room
10449807,Charming Lofty 1bd on Quiet Street,2981910,Daphne,Manhattan,Greenwich Village,Entire home/apt
10450820,Beautiful bright huge pre-war in Williamsburg,1918272,Seva,Brooklyn,Williamsburg,Entire home/apt
10452249,3 Bedroom 1.5 Bath Duplex,49167739,Carine,Manhattan,SoHo,Entire home/apt
10452541,Artsy Bushwick NY 2 Beds with laundry & balcony,3370169,Lydia,Brooklyn,Bushwick,Entire home/apt
10452737,"Large Room, High Floor w/ Views - Times Square",6158370,David,Manhattan,Chelsea,Private room
10454844,Tribeca/Soho Garden Apartment,53327491,Scott,Manhattan,Tribeca,Entire home/apt
10458099,room in Bushwick,53884572,Hans,Brooklyn,Bedford-Stuyvesant,Private room
10460113,BELLA CASA-Private Room-queen bed-historical NYC!!,16480700,Eddie&Vlad,Manhattan,Harlem,Private room
10469388,1 br in the Heart of Williamsburg,32812120,Bjorn,Brooklyn,Williamsburg,Private room
10470258,Stylish & Inviting Brownstone Apt,53955282,Jennifer And Kenneth,Manhattan,East Harlem,Entire home/apt
10471763,"Awesome Apartment, Stunning Views",778746,Paul,Brooklyn,Williamsburg,Private room
10472004,☆ 3min walk to train station. Cute Room!,53966115,Nora,Brooklyn,Bedford-Stuyvesant,Private room
